Sex,Agemos,W5,W10,W25,W50,W75,W90,W95,H5,H10,H25,H50,H75,H90,H95
1,0,2.52690402,2.773801848,3.150611082,3.530203168,3.879076559,4.17249339,4.34029274,45.5684091,46.554293019,48.189373814,49.988884079,51.771257485,53.361534749,54.307211972
1,0.5,2.964655655,3.209510017,3.597395573,4.003106424,4.387422565,4.718161283,4.910130108,48.558092059,49.45780383,50.979188895,52.695975301,54.440543134,56.034440994,56.999077373
1,1.5,3.774848862,4.020561446,4.428872952,4.879525083,5.327327567,5.728152752,5.967101615,52.726106587,53.553646566,54.979104409,56.628428552,58.350594078,59.966403293,60.964653792
1,2.5,4.503255345,4.754479354,5.183377547,5.672888765,6.175598158,6.638979132,6.921119162,55.773450501,56.577721448,57.974398816,59.608953427,61.337880932,62.981581004,64.007885489
1,3.5,5.157411653,5.416802856,5.866806254,6.391391982,6.942217106,7.460702368,7.781401145,58.237443395,59.038302266,60.434334387,62.077000266,63.825426041,65.49858004,66.548890303
1,4.5,5.744751566,6.01371624,6.484969167,7.041836432,7.635323002,8.202193202,8.556813353,60.336469052,61.144096052,62.554088494,64.216864104,65.991306629,67.694047869,68.765377572
1,5.5,6.272175299,6.551379244,7.043626918,7.630425182,8.262032991,8.871384112,9.255614546,62.182608066,63.002959621,64.435463383,66.125314898,67.929347588,69.661223301,70.75128299
1,6.5,6.745992665,7.035656404,7.548345716,8.162951035,8.828786159,9.47546616,9.885435743,63.841661306,64.678536505,66.13895735,67.860179904,69.695794703,71.456091632,72.563067979
1,7.5,7.171952393,7.472021438,8.004398775,8.644832479,9.34149038,10.02101374,10.45331433,65.355838489,66.211812252,67.703750003,69.459084582,71.32735362,73.115246826,74.237667457
1,8.5,7.555286752,7.865532922,8.416718775,9.081119817,9.805593364,10.51406421,10.96573632,66.753979847,67.630877488,69.156817178,70.948039123,72.849470006,74.66409757,75.800744083
1,9.5,7.90075516,8.220839211,8.789881892,9.476500305,10.22612395,10.96017225,11.42867623,68.056745548,68.955906294,70.517606357,72.345861109,74.280601898,76.1211038,77.270952503
1,10.5,8.212683538,8.542195484,9.128109523,9.835307701,10.60772151,11.36445045,11.84763282,69.279492191,70.201924607,71.800648152,73.666654103,75.634618455,77.500158254,78.662339361
1,11.5,8.494999555,8.833485623,9.43527941,10.16153567,10.9546603,11.73160184,12.2276612,70.433974309,71.380455465,73.017118456,74.921297174,76.922243276,78.812016967,79.985782181
1,12.5,8.751264252,9.098245709,9.714941801,10.45885399,11.27087147,12.06594792,12.57340193,71.529412041,72.500549582,74.17581483,76.118375358,78.151958486,80.06520155,81.249903158
1,13.5,8.984701111,9.339687673,9.970337596,10.7306256,11.55996332,12.37145331,12.88910809,72.573183809,73.569459216,75.283801891,77.264799111,79.330606693,81.26659566,82.461668647
1,14.5,9.198222429,9.560722369,10.20441778,10.97992482,11.82524099,12.65174864,13.17867019,73.571296312,74.593094713,76.346847771,78.366223087,80.463798923,82.421851536,83.626800029
1,15.5,9.394453831,9.763981751,10.41986276,11.20955529,12.06972515,12.91015164,13.44563963,74.528711896,75.576343331,77.369730042,79.427340501,81.556201691,83.535675929,84.750062409
1,16.5,9.575756968,9.951839998,10.61910138,11.4220677,12.29616991,13.14968707,13.6932508,75.449582586,76.523297536,78.356455334,80.452094919,82.611743868,84.612036375,85.835473018
1,17.5,9.744250626,10.12643352,10.80432929,11.61977698,12.50708008,13.37310558,13.92444193,76.337421396,77.437422348,79.310420617,81.443836034,83.633769001,85.654313146,86.886454731
1,18.5,9.901830339,10.28967982,10.97752662,11.80477902,12.70472779,13.58290165,14.14187481,77.195230019,78.321680234,80.234533833,82.405436434,84.625149679,86.665413489,87.905951575
1,19.5,10.05018686,10.44329524,11.14047457,11.9789663,12.89116805,13.78133058,14.34795358,78.02559584,79.178626101,81.131305781,83.339380627,85.588374792,87.647858815,88.896516874
1,20.5,10.19082308,10.58881155,11.2947714,12.14404334,13.06825426,13.9704249,14.54484233,78.830766611,80.010480508,82.00292107,84.247833944,86.5256172,88.603852415,89.860381762
1,21.5,10.32507004,10.72759156,11.44184727,12.30154103,13.23765258,14.15200982,14.73448194,79.612708816,80.819186941,82.851293706,85.132696575,87.438786848,89.535332661,90.799509012
1,22.5,10.45410181,10.86084353,11.58297823,12.45283028,13.40085582,14.3277181,14.91860604,80.373152854,81.606457495,83.678112961,85.995648803,88.329574707,90.444015492,91.715634676
1,23.5,10.57894925,10.98963476,11.7192993,12.59913494,13.55919667,14.49900418,15.09875606,81.113634824,82.373808063,84.484870914,86.838175097,89.199478939,91.331427407,92.6103075
1,24.5,10.70051298,11.11490406,11.85181666,12.74154396,13.71386029,14.6671577,15.27629562,81.835518176,83.122589494,85.272904044,87.661609339,90.049845493,92.198934971,93.484908734
1,25.5,10.81957536,11.23747341,11.98141892,12.88102276,13.86589625,14.83331632,15.45242405,82.581353444,83.87244978,86.037029021,88.452472817,90.878700557,93.071433525,94.387745225
1,26.5,10.93681171,11.35805876,12.10888759,13.01842382,14.0162298,14.99847794,15.62818936,83.311052829,84.605762463,86.783293458,89.223264339,91.684676026,93.918174648,95.26300076
1,27.5,11.05280067,11.47727994,12.23490671,13.1544966,14.1656725,15.16351231,15.80450043,84.026090056,85.323989116,87.513174003,89.975492278,92.469288921,94.740636633,96.112101199
1,28.5,11.168034,11.59566994,12.36007175,13.28989667,14.31493214,15.32917196,15.98213866,84.727691617,86.028329957,88.227875866,90.710408526,93.233847494,95.540162262,96.936394762
1,29.5,11.28292555,11.7136834,12.48489772,13.42519408,14.46462206,15.49610261,16.16176896,85.416880272,86.719779943,88.928401171,91.429077621,93.979508426,96.317995649,97.737172894
1,30.5,11.3978197,11.8317045,12.60982671,13.56088113,14.61526973,15.66485286,16.34395024,86.094517447,87.399174767,89.61559787,92.132423789,94.707316535,97.075311105,98.515691042
1,31.5,11.51299966,11.95005435,12.73523417,13.69737858,14.76732387,15.83588308,16.52914562,86.761338925,88.067229883,90.290201768,92.821271673,95.418238845,97.813236601,99.273183777
1,32.5,11.62869248,12.06899744,12.86143776,13.83504622,14.9211657,16.00957526,16.71773017,87.417985874,88.724573453,90.952871072,93.496379457,96.113192169,98.532872542,100.01087655
1,33.5,11.74507947,12.18874835,12.98869905,13.97418199,15.07710916,16.18623873,16.91000241,88.065032034,89.371774272,91.604214671,94.158465459,96.793065044,99.235306532,100.72999472
1,34.5,11.86229971,12.30947723,13.11723187,14.1150324,15.23541179,16.36611917,17.10619066,88.703007448,90.009365363,92.244815147,94.808229231,97.458734901,99.921624825,101.43177049
1,35.5,11.98045644,12.43131521,13.24720657,14.25779618,15.3962791,16.54940494,17.30646132,89.332418366,90.637864042,92.875248611,95.446369813,98.111082613,100.59292122,102.11744722
2,0,2.54790518,2.747222257,3.06486465,3.39918645,3.717519384,3.992572231,4.152636594,45.575607403,46.339336511,47.68345469,49.286396118,51.018695737,52.702501152,53.772908778
